City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Fresno,Liquid Truck,Total GHG Cost,Utilization,-0.014829910636938923,-0.014884828720238746,-0.00010553086847819859,-0.004516275114027629,0.014829910636938923,0.014884828720238746,0.00010553086847819859,0.004516275114027629
Fresno,Liquid Truck,Total GHG Cost,Stations,0.014817247124875914,0.014482435468458682,-0.00011012655658740095,-0.005384214882663062,0.014817247124875914,0.014482435468458682,0.00011012655658740095,0.005384214882663062
Fresno,Liquid Truck,Total GHG Cost,Fuel Price,-0.014551759224169042,-0.01451243989096089,2.65003780338782e-06,0.001275147980013751,0.014551759224169042,0.01451243989096089,2.65003780338782e-06,0.001275147980013751
Fresno,Liquid Truck,Total GHG Cost,Hydrogen Fuel's CI,0.011200195502754764,0.01118300167907898,0.004404080635397559,0.8387600364066047,0.011200195502754764,0.01118300167907898,0.004404080635397559,0.8387600364066047
Fresno,Liquid Truck,Total GHG Cost,Fuel Economy,-0.010475939504886149,-0.010289762258804822,-0.0013499120390330565,-0.4252536764194376,0.010475939504886149,0.010289762258804822,0.0013499120390330565,0.4252536764194376
Fresno,Liquid Truck,Total GHG Cost,Electricity Cost,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total GHG Cost,Liquid Leakage,,,5.551115123125783e-17,,,,5.551115123125783e-17,
Fresno,Liquid Truck,Total GHG Cost,Transmission Length,,,1.1102230246251565e-16,,,,1.1102230246251565e-16,
Fresno,Liquid Truck,Total GHG Cost,Liquid Station Leakage,,,-5.551115123125783e-17,,,,5.551115123125783e-17,
Fresno,Liquid Truck,Total GHG Cost,Liquid Transmission Leakge,,,-1.6653345369377348e-16,,,,1.6653345369377348e-16,
Fresno,Liquid Truck,Total GHG Cost,Liquid Capital Cost,,,5.3809861030072976e-43,,,,5.3809861030072976e-43,
